"Advanced Activity Feeds Wall Plugin";"Advanced Activity Feeds Wall Plugin"
"Advanced Activity Feeds / Wall Plugin";"Advanced Activity Feeds / Wall Plugin"
"Activity Feed Settings";"Activity Feed Settings"
"Welcome Settings";"Welcome Settings"
"Notification Updates";"Notification Updates"
"Info Tooltip Settings";"Info Tooltip Settings"
"FAQ";"FAQ"
"Default Icon";"Default Icon"
"Most Liked Items";"Most Liked Items"
"Retweet";"Retweet"
"Favorite";"Favorite"
"Unfavorite";"Unfavorite"
"Reply";"Reply"
"Delete Tweet?";"Delete Tweet?"

# File Path: Advancedactivity/Api/Birthday.php

"others";"others"
" Photos";" Photos"
" Playlist";" Playlist"
"ADVACADV_SHARE";"Share"
"ADVADV_SHARE";"Share"



# File Path: Advancedactivity/controllers/AdminManageController.php

"Content Type already exists.";"Content Type already exists."



# File Path: Advancedactivity/controllers/AdminReportController.php
"You have successfully delete this abuse report.";"You have successfully delete this abuse report."



# File Path: Advancedactivity/controllers/AdminSettingsController.php

"If your site supports multiple laguage then %s for the compatible Text input box.";"If your site supports multiple laguage then %s for the compatible Text input box."
"If your site supports only one laguage then %s for the compatible Text input box.";"If your site supports only one laguage then %s for the compatible Text input box."
"Limitation value could not be empty.";"Limitation value could not be empty."



# File Path: Advancedactivity/controllers/AuthController.php

"Twitter is currently experiencing technical issues, please try again later.";"Twitter is currently experiencing technical issues, please try again later."
"The Facebook account that you are trying to login with seems to be already used by some other user. Please logout from this Facebook account and try again.";"The Facebook account that you are trying to login with seems to be already used by some other user. Please logout from this Facebook account and try again."
"The Twitter account that you are trying to login with seems to be already used by some other user. Please logout from this Twitter account and try again.";"The Twitter account that you are trying to login with seems to be already used by some other user. Please logout from this Twitter account and try again."




# File Path: Advancedactivity/controllers/CustomListController.php

"Your changes have been saved.";"Your changes have been saved."
"Your List has been deleted.";"Your List has been deleted."



# File Path: Advancedactivity/controllers/FeedController.php

"Your tag has been removed.";"Your tag has been removed."



# File Path: Advancedactivity/controllers/IndexController.php

"Not post";"Not post"
"Invalid data";"Invalid data"
"Success!";"Success!"
"This user is not allowed to like this item";"This user is not allowed to like this item"
"You now like this action.";"You now like this action."
"This user is not allowed to unlike this item";"This user is not allowed to unlike this item"
"You no longer like this action.";"You no longer like this action."
"Not a post";"Not a post"
"This user is not allowed to comment on this item.";"This user is not allowed to comment on this item."
"Comment posted";"Comment posted"
"You cannot share this item because it has been removed.";"You cannot share this item because it has been removed."
"This activity item has been removed.";"This activity item has been removed."
"Comment has been deleted";"Comment has been deleted"
"You do not have the privilege to delete this comment";"You do not have the privilege to delete this comment"
"The uploaded file is not supported or is corrupt.";"The uploaded file is not supported or is corrupt."
"You cannot share this item because it has been removed.";"You cannot share this item because it has been removed."



# File Path: Advancedactivity/controllers/ReportController.php

"Your report has been submitted.";"Your report has been submitted."



# File Path: Advancedactivity/Form/Admin/Manage/Content.php

"Add New Content Type";"Add New Content Type"
"Use the form below to add a content type for enabling users to filter activity feeds over it.";"Use the form below to add a content type for enabling users to filter activity feeds over it."
"Content Module";"Content Module"
"Content Title";"Content Title"
"Enter the content title for which you use this module. Ex: You may use the Documents module for ‘Tutorials’ on your community.";"Enter the content title for which you use this module. Ex: You may use the Documents module for ‘Tutorials’ on your community."
"Filtering Activity Feeds";"Filtering Activity Feeds"
"Enable filtering of activity feeds by users for this content type.";"Enable filtering of activity feeds by users for this content type."
"Save Settings";"Save Settings"
" or ";" or "
"cancel";"cancel"
"There are currently no new content modules that could be added for “Content Lists�?.";"There are currently no new content modules that could be added for “Content Lists�?."




# File Path: Advancedactivity/externals/scripts/notification.js

"You have no new updates.";"You have no new updates."


# File Path: Advancedactivity/externals/scripts/feed-tags.js

"Who are you with?";"Who are you with?"



"An error has occurred processing the request. The target may no longer exist.";"An error has occurred processing the request. The target may no longer exist."
"Your Tweet was over 140 characters. You'll have to be more clever.";"Your Tweet was over 140 characters. You'll have to be more clever."
"An error occured. Please try again after some time.";"An error occured. Please try again after some time."
"Disconnect from Facebook";"Disconnect from Facebook"
"Disconnect from Twitter";"Disconnect from Twitter"




# File Path: Advancedactivity/externals/scripts/advancedactivity-twitter.js

"Shared on Twitter as reply to";"Shared on Twitter as reply to"
"We were unable to process your request. Wait a few moments and try again.";"We were unable to process your request. Wait a few moments and try again."
"Updating...";"Updating..."
"Are you sure that you want to delete this tweet? This action cannot be undone.";"Are you sure that you want to delete this tweet? This action cannot be undone."
"Your Facebook status could not be updated. Please try again.";"Your Facebook status could not be updated. Please try again."
"Stop liking this item";"Stop liking this item"



# File Path: Advancedactivity/Form/Admin/Manage/ContentType.php

"Use the form below to add a content type for enabling users to create their custom lists for filtering activity feeds over them.";"Use the form below to add a content type for enabling users to create their custom lists for filtering activity feeds over them."
"There are currently no new content modules on your website that could be added for Custom Lists.";"There
are currently no new content modules on your website that could be added for Custom Lists."
"For this module not difine any item in manifest file.";"For this module not difine any item in manifest file."
"This is the value of 'items' key in the manifest file of this plugin. To view this value for a desired module, go to the directory of this module, and open the file 'settings/manifest.php'. In this file, search for 'items', and view its value. [Ex in case of blog module: Open file 'application/modules/Blog/settings/manifest.php', and go to around line 62. You will see the 'items' key array with value 'blog'. Thus, the Database Table Item for blog module is: 'blog']";"This is the value of 'items' key in the manifest file of this plugin. To view this value for a desired module, go to the directory of this module, and open the file 'settings/manifest.php'. In this file, search for 'items', and view its value. [Ex in case of blog module: Open file 'application/modules/Blog/settings/manifest.php', and go to around line 62. You will see the 'items' key array with value 'blog'. Thus, the Database Table Item for blog module is: 'blog']"
"Enable for Custom Lists";"Enable for Custom Lists"
"Enable this content type to be part of users’ custom lists for filtering of activity feeds.";"Enable this content type to be part of users’ custom lists for filtering of activity feeds."
"Content Type";"Content Type"
"General";"General"

# File Path: Advancedactivity/Form/Admin/Manage/EditContent.php

"Edit Content Type";"Edit Content Type"
"Use the form below to edit the content type for enabling users to filter activity feeds over it.";"Use the form below to edit the content type for enabling users to filter activity feeds over it."
"Use the form below to edit the content type for enabling users to create their custom lists for filtering activity feeds over them.";"Use the form below to edit the content type for enabling users to create their custom lists for filtering activity feeds over them."


# File Path: Advancedactivity/Form/Admin/Manage/Genral.php

"General Lists Settings";"General Lists Settings"
"These are the general settings for Activity Feeds Lists on your community.";"These are the general settings for Activity Feeds Lists on your community."
"Default Visible Items";"Default Visible Items"
"Select the number of items that should be visible by default for lists based filtering on member home activity feeds. (You can choose the content types that are important for your website to be visible by default. The items beyond this count will appear in a ""More"" dropdown. To choose the sequence of items, visit the Content Lists tab.)";"Select the number of items that should be visible by default for lists based filtering on member home activity feeds. (You can choose the content types that are important for your website to be visible by default. The items beyond this count will appear in a ""More"" dropdown. To choose the sequence of items, visit the Content Lists tab.)"
"Custom Lists Filtering";"Custom Lists Filtering"
"Enable Custom Lists for filtering of activity feeds on member home page. (If enabled, users will be able to create their custom lists from various content types & friends, to filter activity feeds on them. This would allow users to easily view updates from entities that are important to them and which they are interested in. Users could create different lists containing different entities according to their choice and interests. To administer content types available for custom lists, visit the Custom Lists tab.)";"Enable Custom Lists for filtering of activity feeds on member home page. (If enabled, users will be able to create their custom lists from various content types & friends, to filter activity feeds on them. This would allow users to easily view updates from entities that are important to them and which they are interested in. Users could create different lists containing different entities according to their choice and interests. To administer content types available for custom lists, visit the Custom Lists tab.)"
"Friend Lists Filtering";"Friend Lists Filtering"
"Enable users to filter activity feeds on member home page over Friend Lists. (Friend Lists are lists in which users organize their friends from the Friends section of their profiles. Users can use this to see updates of their close friends, colleagues, family, class-mates, etc.)";"Enable users to filter activity feeds on member home page over Friend Lists. (Friend Lists are lists in which users organize their friends from the Friends section of their profiles. Users can use this to see updates of their close friends, colleagues, family, class-mates, etc.)"
"Save Changes";"Save Changes"



# File Path: Advancedactivity/Form/Admin/Report/Action.php

"Take Action";"Take Action"
"What would you like to do for this report?";"What would you like to do for this report?"
"Delete Activity Feed?";"Delete Activity Feed?"
"Delete Activity Feed and Respective Content?";"Delete Activity Feed and Respective Content?"
"Dismiss Report?";"Dismiss Report?"
"Submit";"Submit"



# File Path: Advancedactivity/Form/Admin/CustomBlockCreate.php

"Create New Custom Block";"Create New Custom Block"
"Create a new custom block here, which will be shown in Welcome Tab.";"Create a new custom block here, which will be shown in Welcome Tab."
"Edit Custom Block";"Edit Custom Block"
"Edit the custom block here, which will be shown in Welcome Tab.";"Edit the custom block here, which will be shown in Welcome Tab."
"Title";"Title"
"Title of the custom block.";"Title of the custom block."
"Display Limitation";"Display Limitation"
"Limitation for the custom block view.";"Limitation for the custom block view."
"None, Always show this block to users in the Welcome Tab.";"None, Always show this block to users in the Welcome Tab."
"Number of days since signup. (Below you will be able to enter the value.)";"Number of days since signup. (Below you will be able to enter the value.)" 
"Number of friends. (Below you will be able to enter the value.)";"Number of friends. (Below you will be able to enter the value.)"
"Number of friends";"Number of friends"
"Language Support";"Language Support"
"Content";"Content"
"Member Levels";"Member Levels"
"Specify which member levels will be shown this custom block. To show this block to all member levels, leave them all selected. Use CTRL-click to select or deselect multiple levels.";"Specify which member levels will be shown this custom block. To show this block to all member levels, leave them all selected. Use CTRL-click to select or deselect multiple levels."
"Networks";"Networks"
"Specify which networks will be shown this custom block. To show this block to all networks, leave them all selected. Use CTRL-click to select or deselect multiple networks.";"Specify which networks will be shown this custom block. To show this block to all networks, leave them all selected. Use CTRL-click to select or deselect multiple networks."



# File Path: Advancedactivity/Form/Admin/Global.php

"Third Party Services Settings";"Third Party Services Settings"
"Global Settings";"Global Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Enter License key";"Enter License key"
"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )";"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )"
"Your community is currently in "Production Mode". We recommend that you momentarily switch your site to "Development Mode" so that the CSS of this plugin renders fine as soon as the plugin is installed. After completely installing this plugin and visiting few pages of your site, you may again change the System Mode back to "Production Mode" from the Admin Panel Home. (In Production Mode, caching prevents CSS of new plugins to be rendered immediately after installation.)";"Your community is currently in "Production Mode". We recommend that you momentarily switch your site to "Development Mode" so that the CSS of this plugin renders fine as soon as the plugin is installed. After completely installing this plugin and visiting few pages of your site, you may again change the System Mode back to "Production Mode" from the Admin Panel Home. (In Production Mode, caching prevents CSS of new plugins to be rendered immediately after installation.)"
"System Mode";"System Mode"
"Activate Your Plugin Now";"Activate Your Plugin Now"
"Site Feeds Tab Title";"Site Feeds Tab Title"
"Enter the title for the tab that displays site activity feeds in the Advanced Activity Feeds.";"Enter the title for the tab that displays site activity feeds in the Advanced Activity Feeds."
"Tab Types";"Tab Types"
"Select the design type for the tabs in Advanced Activity Feeds. (These tabs enable users to switch between Welcome tab, feeds from your website and feeds from Facebook and Twitter. Below, you will be able to choose the icon for your site’s tab. In the Advanced Activity Feeds widget, for any placement, you can choose the tabs/sections to be available via the Edit Settings popup for the widget. The tabs are visible only if more than 1 sections are selected. On Content Profile/View pages, the Welcome, Facebook and Twitter tabs will not be shown even if they are enabled and tabs will not appear there.)";"Select the design type for the tabs in Advanced Activity Feeds. (These tabs enable users to switch between Welcome tab, feeds from your website and feeds from Facebook and Twitter. Below, you will be able to choose the icon for your site’s tab. In the Advanced Activity Feeds widget, for any placement, you can choose the tabs/sections to be available via the Edit Settings popup for the widget. The tabs are visible only if more than 1 sections are selected. On Content Profile/View pages, the Welcome, Facebook and Twitter tabs will not be shown even if they are enabled and tabs will not appear there.)"
"Icon Only";"Icon Only"
"Icon and Title";"Icon and Title"
"Title Only";"Title Only"
"You have not uploaded an image for site logo. Please upload an image.";"You have not uploaded an image for site logo. Please upload an image."
"Upload a small icon for your website %s. The ideal dimensions of this icon should be: 16 X 16 px. (This icon will be shown for your site's activity feeds tab in Advanced Activity Feeds. Once you upload a new icon at the link mentioned, then refresh this page to see its preview below after selection.)";"Upload a small icon for your website %s. The ideal dimensions of this icon should be: 16 X 16 px. (This icon will be shown for your site's activity feeds tab in Advanced Activity Feeds. Once you upload a new icon at the link mentioned, then refresh this page to see its preview below after selection.)"
"Choose Small Site Icon";"Choose Small Site Icon"
"Site Icon Preview";"Site Icon Preview"
"Choose Welcome Tab Icon";"Choose Welcome Tab Icon"
"Welcome Tab Icon Preview";"Welcome Tab Icon Preview"
"Info Tooltips";"Info Tooltips"
