"Posts Plugin";"Posts Plugin"
"Post";"Post"
"post";"post"
"Posts";"Posts"
"posts";"posts"
"%d post";"%d post";"%d posts"
"post";"post";"posts"
"%d buzz post";"%d buzz post";"%d buzz posts"
"buzz post";"buzz post";"buzz posts"
"%d vote";"%d vote";"%d votes"

"%d post found";"%d post found";"%d posts found"
"%s post entry";"%s post entry";"%s post entries"
"%s entry";"%s entry";"%s entries"
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%1$s like";"%1$s like";"%1$s likes"

"GO";"GO"

"ITEM_TYPE_POST";"Posts"

# activity notifications
"ACTIVITY_TYPE_POST_STATUS_UPDATE";"When someone updates status of a post that I posted."
"ACTIVITY_TYPE_COMMENTED_POST";"When someone comments on a post I commented on."
"ACTIVITY_TYPE_COMMENT_POST";"When someone comments on one of my posts."
"ACTIVITY_TYPE_LIKED_POST";"When someone comments on a post I liked."
"ACTIVITY_TYPE_LIKE_POST";"When someone likes one of my posts."

"ADMIN_ACTIVITY_TYPE_POST_NEW";"When a new post is posted."
"ADMIN_ACTIVITY_TYPE_COMMENT_POST";"When someone comments on my post."

"_ACTIVITY_ACTIONTYPE_COMMENT_POST";"Comments on your posts"
"_ACTIVITY_ACTIONTYPE_POST_NEW";"New posts"


# activity feeds
"{item:$subject} posted a new topic:";"{item:$subject} posted a new topic:"
"{item:$subject} posted a new photo:";"{item:$subject} posted a new photo:"
"{item:$subject} posted a new video:";"{item:$subject} posted a new video:"
"{item:$subject} posted a new link:";"{item:$subject} posted a new link:"
"{item:$subject} commented on {item:$owner}'s {item:$object:post}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:post}: {body:$body}"
"Your {item:$object} post status has been updated to {var:$status}.";"Your {item:$object} post status has been updated to {var:$status}."

"Based on the engagement of your members, how many votes a hottest post will get in a day?";"Based on the engagement of your members, how many votes a hottest post will get in a day?"
"Voting Time Factor";"Voting Time Factor"

"Topic";"Topic"

"View Posts";"View Posts"
"Post Questions";"Post Questions"
"Categories";"Categories"
"FAQ";"FAQ"
"This page lists all of the posts your members have posted. You can use this page to monitor these posts and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific posts. Leaving the filter fields blank will show all the posts on your social network.";"This page lists all of the posts your members have posted. You can use this page to monitor these posts and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific posts. Leaving the filter fields blank will show all the posts on your social network."
"Keywords";"Keywords"
"Media";"Media"
"Status";"Status"
"Featured";"Featured"
"Sponsored";"Sponsored"
"Sort By";"Sort By"

"Votes";"Votes"
"Icon";"Icon"
"Photo";"Photo"
"Not Featured";"Not Featured"
"Not Sponsored";"Not Sponsored"
"Link";"Link"
"Video";"Video"
"This form allows you to modify the post's status.";"This form allows you to modify the post's status."
"Update Post Status";"Update Post Status"
"Featured Post?";"Featured Post?"
"Would you like to mark this post as featured?";"Would you like to mark this post as featured?"
"Sponsored Post?";"Sponsored Post?"
"Would you like to mark this post as sponsored?";"Would you like to mark this post as sponsored?"
"Delete Post?";"Delete Post?"
"Are you sure that you want to delete this post? It will not be recoverable after being deleted.";"Are you sure that you want to delete this post? It will not be recoverable after being deleted."

"Member Level";"Member Level"
"Do you want to let members view posts? If set to no, some other settings on this page may not apply.";"Do you want to let members view posts? If set to no, some other settings on this page may not apply."
"Allow Viewing of Posts?";"Allow Viewing of Posts?"
"Allow Creation of Posts?";"Allow Creation of Posts?"
"Do you want to let members edit posts? If set to no, some other settings on this page may not apply.";"Do you want to let members edit posts? If set to no, some other settings on this page may not apply."
"Allow Editing of Posts?";"Allow Editing of Posts?"
"Do you want to let members delete posts? If set to no, some other settings on this page may not apply.";"Do you want to let members delete posts? If set to no, some other settings on this page may not apply."
"Allow Deletion of Posts?";"Allow Deletion of Posts?"
"Do you want to let members of this level comment on posts?";"Do you want to let members of this level comment on posts?"
"Allow Commenting on Posts?";"Allow Commenting on Posts?"
"Do you want to manually approve all new posts before they are published?";"Do you want to manually approve all new posts before they are published?"
"Require Approval?";"Require Approval?"
"Your users can choose from any of the options checked below when they decide who can see their posts. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice.";"Your users can choose from any of the options checked below when they decide who can see their posts. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"Posts View Privacy";"Posts View Privacy"
"Your users can choose from any of the options checked below when they decide who can comment on their posts. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice.";"Your users can choose from any of the options checked below when they decide who can comment on their posts. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"Post Comment Options";"Post Comment Options"
"Enter the maximum number of allowed posts. The field must contain an integer, use zero for unlimited.";"Enter the maximum number of allowed posts. The field must contain an integer, use zero for unlimited."
"Maximum Allowed Posts";"Maximum Allowed Posts"
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"pagetitle-post-index-admin-level";"pagetitle-post-index-admin-level"
"Add New Category";"Add New Category"
"Move Category";"Move Category"

